test_set,row_avg_rt,col_avg_rt,cost_threshold_avg_rt,hybrid_optimizer_avg_rt,lightgbm_avg_rt,oracle_avg_rt,acc,macro_precision,macro_recall,macro_f1,f1_easy_set,f1_hard_set,overall_improvement,improvement_towards_oracle
set1,6.46006,2.34585,2.2719,2.793,1.92336,1.17715,0.76913,0.794194,0.788129,0.768919,0.897099,0.523023,0.702269,0.14125
set2,0.102497,0.0373949,0.0327724,0.0393847,0.0290625,0.018681,0.903475,0.727818,0.843814,0.768434,0.768928,0.461128,0.716457,0.123859
set3,0.934201,0.208044,0.235305,0.278839,0.321316,0.133754,0.867521,0.804482,0.85529,0.824209,0.819491,0.676456,0.656052,0.234322
set4,2.20249,0.303436,0.322128,0.379954,0.35364,0.260429,0.893375,0.90328,0.885982,0.890497,0.949609,0.648833,0.839436,0.0479961
set5,1.57307,0.480156,0.449519,0.591643,0.418323,0.311137,0.76532,0.788873,0.783376,0.765128,0.796157,0.552283,0.734072,0.0849383
