query_idx,row_only_lat,col_only_lat,cost_thresh_lat,hybrid_opt_lat,lgbm_kernel_lat
0,0.0006301775574684143,0.0004817843437194824,0.0004893764853477478,0.0004419758915901184,0.0004716813564300537
1,1.8861366584897041,0.04141294211149216,0.04157393425703049,0.050055235624313354,0.0611497163772583
2,0.8980188742280006,1.1042499020695686,1.5391120612621307,1.6419733688235283,1.1974819004535675
3,0.6980109289288521,0.04518188536167145,0.04360014200210571,0.05161835998296738,0.07755198329687119
4,0.9665081053972244,0.6245565116405487,0.6200431063771248,1.2623393386602402,0.7769415080547333
5,0.000578857958316803,0.0006319358944892883,0.0005824938416481018,0.0005705505609512329,0.000688210129737854
6,2.1709114164114,0.3343251124024391,0.30476701259613037,0.3522018641233444,0.41041046380996704
7,0.0005275458097457886,0.0006293356418609619,0.0005578324198722839,0.0008591189980506897,0.0005477964878082275
8,0.00041040778160095215,0.00044229626655578613,0.00041966140270233154,0.0006328001618385315,0.00041318684816360474
9,0.00016555190086364746,0.00018420815467834473,0.00017760694026947021,0.0002719759941101074,0.00016370415687561035
10,0.004095003008842468,0.08982530236244202,0.08947867155075073,0.09723450243473053,0.07988360524177551
11,0.0011121854186058044,0.08705999702215195,0.001144707202911377,0.001301877200603485,0.07457511872053146
12,0.27462008595466614,0.014680042862892151,0.015149891376495361,0.027481697499752045,0.015999533236026764
13,0.001097463071346283,0.08207910507917404,0.0008133500814437866,0.0011331364512443542,0.0014011114835739136
14,0.00034925341606140137,0.0005028992891311646,0.00034061819314956665,0.00039803236722946167,0.0003997012972831726
15,0.007281951606273651,0.010339036583900452,0.0072969794273376465,0.008773408830165863,0.014859773218631744
16,0.056094080209732056,0.13820259273052216,0.056519120931625366,0.060854434967041016,0.05248406529426575
17,0.00035296380519866943,0.0003662109375,0.0003407970070838928,0.0002872943878173828,0.00031664222478866577
18,0.0002954527735710144,0.0002944841980934143,0.0002816691994667053,0.00029456615447998047,0.0002668127417564392
19,0.00016029179096221924,0.000199146568775177,0.00018215179443359375,0.00018181651830673218,0.0001541823148727417
20,0.004634760320186615,0.43617378920316696,0.004656612873077393,0.005396902561187744,0.004941597580909729
21,1.3562098667025566,0.245813749730587,1.2779088243842125,1.424558512866497,0.710445336997509
22,0.0005776211619377136,0.0006202235817909241,0.0005859434604644775,0.0006022825837135315,0.000591374933719635
23,0.0002593994140625,0.00028245896100997925,0.0002858266234397888,0.00029696524143218994,0.0002754628658294678
24,0.0017887651920318604,0.02291802316904068,0.0017959773540496826,0.001977264881134033,0.01729278266429901
25,13.27382730692625,2.054730497300625,1.9358560666441917,2.326045759022236,1.9631804823875427
26,0.13213491439819336,0.09118664264678955,0.11588209122419357,0.15392374247312546,0.11931634694337845
27,0.008405141532421112,0.013796508312225342,0.005645185708999634,0.0064421966671943665,0.006542183458805084
28,0.005595199763774872,0.000556647777557373,0.0005607083439826965,0.0006035640835762024,0.0005418658256530762
29,0.00033398717641830444,0.00028070807456970215,0.0002745017409324646,0.0003086104989051819,0.0002577453851699829
30,0.00021541118621826172,0.0001732856035232544,0.00017286837100982666,0.0002133697271347046,0.00016136467456817627
31,0.00022877752780914307,0.0002320706844329834,0.0002361014485359192,0.00025775283575057983,0.00021257996559143066
32,0.4881425201892853,0.17228595167398453,0.19410774856805801,0.2855752184987068,0.25604917109012604
33,0.0003830939531326294,0.00045909732580184937,0.00047466903924942017,0.0005616545677185059,0.0005333870649337769
34,0.0002373233437538147,0.00026550889015197754,0.0003068596124649048,0.00029981136322021484,0.00033117830753326416
35,0.25658825784921646,0.04135242849588394,0.25625811517238617,0.27548936009407043,0.04574909061193466
36,0.00036998093128204346,0.00047850608825683594,0.0004985630512237549,0.0005901679396629333,0.00048655271530151367
37,0.0006774887442588806,0.01661907136440277,0.019375398755073547,0.0346764400601387,0.045831166207790375
38,0.46045757085084915,0.6041628867387772,0.6291816458106041,0.6723987236618996,0.6337414979934692
39,0.00031700730323791504,0.0003817752003669739,0.00046657025814056396,0.0004016011953353882,0.00037726759910583496
40,0.0046394020318984985,0.1793617531657219,0.005280345678329468,0.005621857941150665,0.11861765384674072
41,0.00041355937719345093,0.0006032586097717285,0.000423237681388855,0.00044579803943634033,0.0005332529544830322
42,0.0026540979743003845,0.011572442948818207,0.0039911940693855286,0.004611179232597351,0.004318714141845703
43,0.012468449771404266,0.07149362564086914,0.013048730790615082,0.013975657522678375,0.05471857637166977
44,0.0015022233128547668,0.006526343524456024,0.0015686526894569397,0.0018455758690834045,0.004488930106163025
45,0.00031688064336776733,0.0004314705729484558,0.00033061206340789795,0.00040569156408309937,0.00034543871879577637
46,0.0003345683217048645,0.00039674341678619385,0.00038433074951171875,0.0004279986023902893,0.00035434961318969727
47,6.504130490124226,1.157347060739994,1.1802403181791306,1.312243677675724,1.2141979038715363
48,0.12175770848989487,0.08863826841115952,0.13353567570447922,0.4189443066716194,0.24479637295007706
49,0.06800104677677155,0.26888227462768555,0.07086125016212463,0.07112253457307816,0.2711579352617264
50,0.00030103325843811035,0.0004192367196083069,0.0004032403230667114,0.0004460066556930542,0.0004577711224555969
51,14.408461719751358,2.289977729320526,2.5347582027316093,2.6723255813121796,2.3519681617617607
52,0.0019293949007987976,0.001986287534236908,0.001884162425994873,0.0020750463008880615,0.0017005279660224915
53,0.0025285035371780396,0.02556537836790085,0.003820367157459259,0.0056966617703437805,0.00416545569896698
54,0.00017798691987991333,0.00032066553831100464,0.00022668391466140747,0.0002382025122642517,0.00019555538892745972
55,0.000841096043586731,0.000456981360912323,0.00044231116771698,0.0005706772208213806,0.000385187566280365
56,0.0002468377351760864,0.00026742368936538696,0.000287473201751709,0.0002843812108039856,0.00022900104522705078
57,0.0035509243607521057,0.08030172437429428,0.11101270467042923,0.09904062002897263,0.08082228899002075
58,0.0003071501851081848,0.0005076155066490173,0.0005822703242301941,0.0006104037165641785,0.0005286484956741333
59,0.00015051662921905518,0.00019259750843048096,0.00019415467977523804,0.0001750662922859192,0.0001711323857307434
60,0.0032393932342529297,0.059583231806755066,0.06989603489637375,0.053598031401634216,0.10522930324077606
61,0.00037214159965515137,0.0006527453660964966,0.0005321800708770752,0.0006280317902565002,0.00058736652135849
62,4.3302386328577995,1.6521663516759872,1.7257020995020866,1.7046160250902176,1.683775655925274
63,0.01523684710264206,0.033567629754543304,0.015870794653892517,0.015146724879741669,0.01493895798921585
64,0.0002883598208427429,0.00043163448572158813,0.000327475368976593,0.00031588971614837646,0.000306934118270874
65,0.00029268115758895874,0.00035084784030914307,0.00033661723136901855,0.0003511160612106323,0.00030269473791122437
66,0.5124057456851006,0.08749565482139587,0.10516723245382309,0.09612392634153366,0.09536126255989075
67,0.000545695424079895,0.00044073164463043213,0.000489354133605957,0.0005697160959243774,0.00042600929737091064
