query_idx,cost_thresh_lat,hybrid_opt_lat,lgbm_kernel_lat,lgbm_kernel_mm1_lat
0,0.012524634599685669,0.009929455816745758,0.027153104543685913,0.012613356113433838
1,0.4933916851878166,0.6865571662783623,0.12076829373836517,0.09229081124067307
2,0.26466212421655655,0.12166272103786469,0.007399618625640869,0.008092917501926422
3,0.39183978736400604,0.10212649405002594,0.08599663525819778,0.05143647640943527
4,0.24761970341205597,0.1178659051656723,0.008200258016586304,0.01006220281124115
5,15.714014388620853,46.55570710450411,16.005668431520462,14.566531129181385
6,0.06815572082996368,0.8567448034882545,0.008707724511623383,0.13089780509471893
7,0.176355242729187,0.21248238533735275,0.008112601935863495,0.10702048242092133
8,0.40278224647045135,0.17856214195489883,0.010084129869937897,0.009347803890705109
9,0.6132966428995132,1.9594142138957977,0.3816879019141197,0.25080345571041107
10,1.023735947906971,1.874943621456623,0.07107377052307129,0.10709952563047409
11,0.0305856391787529,0.11986898630857468,0.035055309534072876,0.02569444477558136
12,0.3920409083366394,0.2084273099899292,0.03195136785507202,0.010998621582984924
13,0.021716855466365814,0.020392075181007385,0.023339994251728058,0.011247709393501282
14,0.006123378872871399,0.0053116753697395325,0.010017774999141693,0.007476784288883209
15,32.91453415155411,13.572739750146866,0.11180341243743896,0.1004386767745018
16,0.006591804325580597,0.006024874746799469,0.008532799780368805,0.007825061678886414
17,0.1655307486653328,0.1370680183172226,0.007925815880298615,0.007386781275272369
18,0.033689506351947784,0.16152867674827576,0.0774916410446167,0.05196606367826462
19,0.343609943985939,0.19745874404907227,0.008414685726165771,0.008696585893630981
20,0.09851983934640884,0.09030866622924805,0.011678241193294525,0.01180906593799591
21,0.08714018762111664,0.559093102812767,0.0325639471411705,0.015230976045131683
22,0.005064547061920166,0.004817478358745575,0.04204332083463669,0.009874485433101654
23,0.28813616931438446,0.17366768419742584,0.018227100372314453,0.023117631673812866
24,0.004993520677089691,0.0052746981382369995,0.023112736642360687,0.006091021001338959
25,0.3685569241642952,0.5820339471101761,0.06492427736520767,0.026443660259246826
26,0.27283860743045807,0.20498838275671005,0.029867693781852722,0.006907165050506592
27,0.029867269098758698,0.03650854527950287,0.15442875027656555,0.01033935695886612
28,0.5126573815941811,0.06307545304298401,0.042916834354400635,0.10397621244192123
29,0.4387740343809128,1.372708648443222,1.124720275402069,0.4020971730351448
30,0.1718054637312889,1.4987836852669716,0.001337401568889618,0.06148234009742737
31,0.27887483686208725,0.5165784955024719,0.14867235720157623,0.2362162470817566
32,0.6413302719593048,2.2369137704372406,2.1904831752181053,0.5240656584501266
33,0.8476077541708946,0.6288628131151199,0.7343263030052185,0.26417533308267593
