feat_id,perm_importance
7,0.679821
13,0.675336
8,0.673094
5,0.672646
4,0.672197
14,0.672197
9,0.671749
6,0.671300
2,0.669507
10,0.669058
11,0.665919
1,0.664574
3,0.655157
0,0.627354
12,0.597309
